file;size;nnodes;time
bird.png;256x256;5082;660
boat.png;512x512;38628;4498
mountain.png;640x480;46405;2192
goldhill.png;512x512;43000;3654
house.png;256x256;9851;913
mandrill.png;512x512;60239;6967
zelda.png;512x512;24674;2520
naturel.png;1600x1200;129684;20980
camera.png;256x256;10885;1115
piscine.png;3072x2304;1034825;160776
sat.png;1297x1381;249604;24031
lena.png;512x512;31643;4066
washsat.png;512x512;17186;245
frog.png;621x498;30237;1905
barb.png;512x512;40496;5079
bridge.png;256x256;14330;1573
peppers.png;512x512;34122;4297
