file;size;nnodes;time
bird.png;256x256;5082;74
boat.png;512x512;38628;93
mountain.png;640x480;46405;84
goldhill.png;512x512;43000;79
house.png;256x256;9851;18
mandrill.png;512x512;60239;89
zelda.png;512x512;24674;69
naturel.png;1600x1200;129684;618
camera.png;256x256;10885;19
piscine.png;3072x2304;1034825;4057
sat.png;1297x1381;249604;748
lena.png;512x512;31643;158
washsat.png;512x512;17186;60
frog.png;621x498;30237;76
barb.png;512x512;40496;79
bridge.png;256x256;14330;22
peppers.png;512x512;34122;82
