file;size;nnodes;time
bird.png;256x256;5082;77
boat.png;512x512;38628;82
mountain.png;640x480;46405;90
goldhill.png;512x512;43000;106
house.png;256x256;9851;25
mandrill.png;512x512;60239;81
zelda.png;512x512;24674;67
naturel.png;1600x1200;129684;447
camera.png;256x256;10885;20
piscine.png;3072x2304;1034825;5389
sat.png;1297x1381;249604;14192
lena.png;512x512;31643;62
washsat.png;512x512;17186;58
frog.png;621x498;30237;78
barb.png;512x512;40496;69
bridge.png;256x256;14330;22
peppers.png;512x512;34122;73
